Ticker,Org-Ticker,Company,Sector [6],Industry [6]
JWEL.TO,JWEL,Jamieson Wellness Inc.,Consumer Defensive,Consumer Packaged Goods
KNT.TO,KNT,K92 Mining Inc.,Basic Materials,Metals & Mining
KEY.TO,KEY,Keyera Corp.,Energy,Oil & Gas
KMP-UN.TO,KMP-UN,Killam Apartment Real Estate Investment Trust,Real Estate,REITs
KXS.TO,KXS,Kinaxis Inc.,Technology,Software
K.TO,K,Kinross Gold Corporation,Basic Materials,Metals & Mining
LIF.TO,LIF,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel
LB.TO,LB,Laurentian Bank of Canada,Financial Services,Banks
LSPD.TO,LSPD,Lightspeed POS Inc.,Technology,Software
LNR.TO,LNR,Linamar Corporation,Consumer Cyclical,Vehicles & Parts
LAC.TO,LAC,Lithium Americas Corp.,Basic Materials,Metals & Mining
L.TO,L,Loblaw Companies Limited,Consumer Defensive,Retail Defensive
LUN.TO,LUN,Lundin Mining Corporation,Basic Materials,Metals & Mining
MAG.TO,MAG,MAG Silver Corp.,Basic Materials,Metals & Mining
MG.TO,MG,Magna International Inc.,Consumer Cyclical,Vehicles & Parts
MFC.TO,MFC,Manulife Financial Corporation,Financial Services,Insurance
MFI.TO,MFI,Maple Leaf Foods Inc.,Consumer Defensive,Consumer Packaged Goods
MRE.TO,MRE,Martinrea International Inc.,Consumer Cyclical,Vehicles & Parts
MEG.TO,MEG,MEG Energy Corp.,Energy,Oil & Gas
MX.TO,MX,Methanex Corporation,Basic Materials,Chemicals
MRU.TO,MRU,Metro Inc.,Consumer Defensive,Retail Defensive
MTY.TO,MTY,MTY Food Group,Consumer Cyclical,Restaurants
MTL.TO,MTL,Mullen Group Ltd.,Industrials,Transportation
NA.TO,NA,National Bank of Canada,Financial Services,Banks
NGD.TO,NGD,New Gold Inc.,Basic Materials,Metals & Mining
NXE.TO,NXE,NexGen Energy Ltd.,Energy,Other Energy Sources
NFI.TO,NFI,NFI Group Inc.,Consumer Cyclical,Vehicles & Parts
NPI.TO,NPI,Northland Power Inc.,Utilities,Independent Power Producers
NWH-UN.TO,NWH-UN,NorthWest Healthcare Properties Real Estate Investment Trust,Real Estate,REITs
NG.TO,NG,NovaGold Resources Inc.,Basic Materials,Metals & Mining
NTR.TO,NTR,Nutrien Ltd.,Basic Materials,Agriculture
NVEI.TO,NVEI,Nuvei Corporation,Technology,Software
OGC.TO,OGC,OceanaGold Corporation,Basic Materials,Metals & Mining
ONEX.TO,ONEX,Onex Corporation,Financial Services,Asset Management
OTEX.TO,OTEX,Open Text Corporation,Technology,Software
OGI.TO,OGI,OrganiGram Holdings Inc.,Healthcare,Drug Manufacturers
OR.TO,OR,Osisko Gold Royalties Ltd.,Basic Materials,Metals & Mining
OSK.TO,OSK,Osisko Mining Inc.,Basic Materials,Metals & Mining
PAAS.TO,PAAS,Pan American Silver Corp.,Basic Materials,Metals & Mining
PXT.TO,PXT,Parex Resources Inc.,Energy,Oil & Gas
PKI.TO,PKI,Parkland Corporation,Energy,Oil & Gas
PPL.TO,PPL,Pembina Pipeline Corporation,Energy,Oil & Gas
POW.TO,POW,Power Corporation of Canada,Financial Services,Insurance
PSK.TO,PSK,PrairieSky Royalty Ltd.,Energy,Oil & Gas
PBH.TO,PBH,Premium Brands Holdings Corporation,Consumer Defensive,Consumer Packaged Goods
PRMW.TO,PRMW,Primo Water Corporation,Consumer Defensive,Non-Alcoholic Beverages
QBR-B.TO,QBR-B,Quebecor Inc.,Communication Services,Telecommunication Services
REAL.TO,REAL,Real Matters Inc.,Technology,Software
QSR.TO,QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants
RCH.TO,RCH,Richelieu Hardware Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
REI-UN.TO,REI-UN,RioCan Real Estate Investment Trust,Real Estate,REITs
RBA.TO,RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,Business Services
RCI-B.TO,RCI-B,Rogers Communications Inc.,Communication Services,Telecommunication Services
RY.TO,RY,Royal Bank of Canada,Financial Services,Banks
RUS.TO,RUS,Russel Metals Inc.,Industrials,Industrial Distribution
SSL.TO,SSL,Sandstorm Gold Ltd.,Basic Materials,Metals & Mining
SAP.TO,SAP,Saputo Inc.,Consumer Defensive,Consumer Packaged Goods
SEA.TO,SEA,Seabridge Gold Inc.,Basic Materials,Metals & Mining
SJR-B.TO,SJR-B,Shaw Communications Inc.,Communication Services,Telecommunication Services
SHOP.TO,SHOP,Shopify Inc.,Technology,Software
SIA.TO,SIA,Sienna Senior Living Inc.,Healthcare,Healthcare Providers & Services
SVM.TO,SVM,Silvercorp Metals Inc.,Basic Materials,Metals & Mining
SIL.TO,SIL,SilverCrest Metals Inc.,Basic Materials,Metals & Mining
ZZZ.TO,ZZZ,Sleep Country Canada Holdings Inc.,Consumer Cyclical,Retail Cyclical
SRU-UN.TO,SRU-UN,SmartCentres Real Estate Investment Trust,Real Estate,REITs
SNC.TO,SNC,SNC-Lavalin Group Inc.,Industrials,Construction
TOY.TO,TOY,Spin Master Corp.,Consumer Cyclical,Travel & Leisure
SII.TO,SII,Sprott Inc.,Financial Services,Asset Management
SSRM.TO,SSRM,SSR Mining Inc.,Basic Materials,Metals & Mining
STN.TO,STN,Stantec Inc.,Industrials,Construction
STLC.TO,STLC,Stelco Holdings Inc.,Basic Materials,Steel
SJ.TO,SJ,Stella-Jones Inc.,Basic Materials,Forest Products
SMU-UN.TO,SMU-UN,Summit Industrial Income REIT,Real Estate,REITs
SLF.TO,SLF,Sun Life Financial Inc.,Financial Services,Insurance
SU.TO,SU,Suncor Energy Inc.,Energy,Oil & Gas
SOY.TO,SOY,SunOpta Inc.,Consumer Defensive,Consumer Packaged Goods
SPB.TO,SPB,Superior Plus Corp.,Utilities,Regulated Utilities
TRP.TO,TRP,TC Energy Corporation,Energy,Oil & Gas
TECK-B.TO,TECK-B,Teck Resources Limited,Basic Materials,Metals & Mining
T.TO,T,Telus Corporation,Communication Services,Telecommunication Services
TIXT.TO,TIXT,Telus International,Information Technology,Data Processing & Outsourced Services
TFII.TO,TFII,TFI International Inc.,Industrials,Transportation
NWC.TO,NWC,The North West Company Inc.,Consumer Defensive,Retail Defensive
TRI.TO,TRI,Thomson Reuters Corporation,Industrials,Business Services
TLRY.TO,TLRY,Tilray Inc.,Healthcare,Drug Manufacturers
X.TO,X,TMX Group Limited,Financial Services,Capital Markets
TXG.TO,TXG,Torex Gold Resources Inc.,Basic Materials,Metals & Mining
TIH.TO,TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution
TD.TO,TD,Toronto-Dominion Bank,Financial Services,Banks
TOU.TO,TOU,Tourmaline Oil,Energy,Oil & Gas
TA.TO,TA,TransAlta Corporation,Utilities,Independent Power Producers
